from,to,weight
703,692,2
703,696,1
703,698,1
703,712,1
703,711,2
703,723,1
703,722,1
703,737,1
703,741,1
703,749,1
703,755,2
703,757,2
703,765,2
703,771,1
703,780,2
703,787,1
703,788,2
703,805,1
703,797,1
703,801,1
703,817,1
703,819,2
703,825,2
692,696,1
692,698,1
692,703,2
692,712,1
692,711,2
692,723,2
692,724,1
692,722,-2
692,737,1
692,741,2
692,755,2
692,757,2
692,765,2
692,780,2
692,788,1
692,808,1
692,797,1
692,801,-1
692,820,2
692,817,1
692,819,2
692,825,2
692,708,1
692,718,1
692,710,1
692,809,1
692,806,2
696,703,1
696,711,-1
696,723,1
696,724,-2
696,722,2
696,749,1
696,776,-1
696,788,1
696,817,2
698,692,1
698,703,1
698,708,2
698,715,2
698,710,2
698,711,1
698,723,2
698,734,2
698,725,2
698,737,2
698,741,2
698,749,1
698,753,2
698,757,1
698,765,2
698,771,2
698,780,2
698,787,1
698,788,1
698,795,1
698,797,2
698,801,1
698,805,2
698,808,1
698,815,1
698,820,2
698,819,1
698,817,2
698,823,2
698,825,1
723,692,2
723,696,2
723,698,1
723,703,2
723,716,1
723,712,1
723,711,2
723,724,1
723,722,2
723,737,2
723,741,2
723,749,2
723,755,2
723,757,2
723,765,2
723,771,1
723,776,1
723,780,2
723,787,1
723,788,2
723,805,2
723,808,1
723,797,2
723,801,2
723,820,2
723,817,2
723,819,2
724,712,1
724,722,1
724,749,1
724,755,-1
724,776,2
724,780,1
724,787,1
724,788,1
724,801,1
724,808,1
724,820,1
724,819,1
724,817,1
741,696,1
741,692,1
741,698,1
741,703,1
741,712,1
741,711,2
741,723,2
741,737,-1
741,765,1
741,771,1
741,776,1
741,780,2
741,787,1
741,788,2
741,805,1
741,808,2
741,797,1
741,801,-2
741,820,2
741,817,1
741,819,2
741,825,2
755,696,1
755,692,1
755,698,1
755,703,1
755,716,1
755,712,1
755,711,1
755,723,2
755,724,1
755,722,1
755,737,1
755,741,1
755,749,1
755,757,1
755,765,1
755,771,1
755,776,1
755,780,1
755,787,1
755,788,2
755,805,1
755,808,1
755,797,1
755,801,1
755,820,1
755,817,1
755,819,1
755,825,1
722,696,2
722,703,1
722,716,1
722,712,1
722,711,1
722,723,1
722,737,1
722,741,1
722,749,1
722,755,1
722,757,1
722,771,1
722,780,1
722,787,1
722,788,1
722,805,1
722,819,1
722,817,2
722,825,1
716,692,1
716,696,2
716,703,2
716,698,2
716,712,2
716,711,1
716,723,1
716,724,-1
716,722,2
716,737,1
716,741,2
716,749,1
716,755,1
716,757,1
716,771,2
716,776,-1
716,780,2
716,788,2
716,787,1
716,805,2
716,808,1
716,797,2
716,801,1
716,820,2
716,817,1
716,819,2
716,825,1
712,692,1
712,696,1
712,703,1
712,698,1
712,716,1
712,711,1
712,723,1
712,724,1
712,722,1
712,737,1
712,741,2
712,749,2
712,755,1
712,757,2
712,765,1
712,771,1
712,776,1
712,780,1
712,787,1
712,788,2
712,801,-1
712,808,2
712,820,1
712,819,1
712,817,1
712,825,2
749,692,2
749,696,2
749,698,2
749,703,2
749,716,1
749,712,2
749,711,2
749,723,2
749,724,2
749,722,1
749,741,2
749,737,2
749,755,2
749,757,2
749,765,2
749,771,2
749,776,1
749,780,1
749,787,2
749,788,2
749,805,2
749,808,1
749,797,1
749,801,2
749,820,2
749,817,2
749,819,2
749,825,2
737,692,1
737,696,1
737,698,1
737,703,1
737,716,1
737,712,1
737,711,1
737,723,1
737,724,1
737,722,-1
737,741,1
737,755,-1
737,749,1
737,757,1
737,765,2
737,771,2
737,776,1
737,780,2
737,787,2
737,788,1
737,808,-1
737,820,2
737,817,1
737,819,1
737,825,1
757,692,1
757,703,2
757,712,2
757,711,2
757,723,1
757,741,2
757,737,1
757,755,1
757,749,2
757,765,2
757,780,1
757,788,2
757,805,2
757,808,1
757,801,1
757,820,1
757,819,2
757,825,1
788,692,1
788,696,2
788,698,2
788,703,2
788,712,2
788,711,1
788,723,1
788,724,1
788,722,1
788,741,2
788,749,2
788,755,2
788,757,1
788,765,1
788,771,-1
788,787,2
788,808,1
788,797,1
788,801,1
788,820,1
788,817,2
788,819,1
797,692,1
797,696,1
797,703,1
797,698,2
797,711,1
797,723,1
797,722,1
797,737,1
797,741,1
797,757,1
797,765,2
797,780,2
797,787,1
797,788,1
797,801,1
797,805,2
797,808,-1
797,820,2
797,819,1
797,817,2
797,825,1
771,692,1
771,696,1
771,703,1
771,698,2
771,716,1
771,712,1
771,711,1
771,723,1
771,724,1
771,722,1
771,737,2
771,741,1
771,749,1
771,755,1
771,757,1
771,765,1
771,780,1
771,787,2
771,788,1
771,808,2
771,797,2
771,801,2
771,820,2
771,817,2
771,819,1
771,825,1
780,692,1
780,703,1
780,698,1
780,711,1
780,723,1
780,724,1
780,722,1
780,737,1
780,741,1
780,749,1
780,757,1
780,765,2
780,776,1
780,797,1
780,801,-1
780,805,-1
780,808,-2
780,820,2
780,819,1
780,817,1
780,825,1
776,724,2
776,780,1
776,801,1
776,820,1
776,692,1
776,741,1
787,696,1
787,703,1
787,698,2
787,716,1
787,712,1
787,711,1
787,723,1
787,724,1
787,722,1
787,741,1
787,749,1
787,757,1
787,765,2
787,771,2
787,780,2
787,788,2
787,805,1
787,797,2
787,801,1
787,820,2
787,817,2
787,819,1
787,825,1
765,692,2
765,696,1
765,698,1
765,703,1
765,711,1
765,723,2
765,722,1
765,741,2
765,737,2
765,749,1
765,757,2
765,771,1
765,780,2
765,788,1
765,797,1
765,820,2
765,817,1
765,825,2
801,703,1
801,716,1
801,712,2
801,711,1
801,723,2
801,724,2
801,737,1
801,741,1
801,749,2
801,755,2
801,757,1
801,771,2
801,776,1
801,787,2
801,788,2
801,808,2
801,820,1
801,817,2
801,819,1
808,692,1
808,696,1
808,703,1
808,698,1
808,716,2
808,712,2
808,711,1
808,723,2
808,724,2
808,722,1
808,737,1
808,741,2
808,749,2
808,755,1
808,757,2
808,765,1
808,771,1
808,776,1
808,780,1
808,787,1
808,788,2
808,797,1
808,801,2
808,820,2
808,819,2
808,817,2
808,825,1
817,692,1
817,696,2
817,703,2
817,699,1
817,698,2
817,716,1
817,712,1
