,ID,Curso,Grupo,Sexo,prosocial,crttotal
0,207,1,A,Male,1.00,3
1,206,1,A,Male,0.33,1
2,205,1,A,Male,0.67,2
3,204,1,A,Male,1.00,3
4,203,1,A,Female,0.67,2
5,202,1,A,Male,1.00,2
6,201,1,A,Female,0.67,3
7,200,1,A,Female,1.00,1
8,199,1,A,Male,1.00,3
9,198,1,A,Male,1.00,2
10,197,1,A,Male,1.00,3
11,196,1,A,Male,1.00,3
12,195,1,A,Female,0.67,2
13,194,1,A,Male,1.00,3
14,193,1,A,Female,0.67,2
15,192,1,A,Female,1.00,3
16,191,1,A,Male,1.00,3
17,224,1,B,Female,0.67,3
18,223,1,B,Male,0.67,3
19,222,1,B,Male,1.00,1
20,221,1,B,Male,0.33,1
21,220,1,B,Male,1.00,1
22,219,1,B,Female,,3
23,218,1,B,Male,,3
24,217,1,B,Male,0.33,3
25,216,1,B,Female,0.33,2
26,215,1,B,Male,,
27,214,1,B,Female,0.33,3
28,213,1,B,Female,0.33,2
29,212,1,B,Male,1.00,2
30,211,1,B,Male,1.00,2
31,210,1,B,Male,1.00,2
32,209,1,B,Male,1.00,2
33,208,1,B,Female,0.67,3
34,245,1,C,Female,0.67,3
35,244,1,C,Female,0.67,
36,243,1,C,Female,0.67,1
37,242,1,C,Female,,
38,241,1,C,Male,0.67,2
39,240,1,C,Female,1.00,
40,239,1,C,Male,1.00,2
41,238,1,C,Male,1.00,3
42,237,1,C,Male,0.67,
43,236,1,C,Male,1.00,2
44,235,1,C,Female,0.67,2
45,234,1,C,Female,,
46,233,1,C,Male,,
47,232,1,C,Male,1.00,2
48,231,1,C,Female,0.67,1
49,230,1,C,Female,0.67,
50,229,1,C,Male,1.00,3
51,228,1,C,Female,,
52,227,1,C,Male,1.00,2
53,226,1,C,Female,0.67,2
54,225,1,C,Male,,
55,268,1,D,Female,1.00,2
56,267,1,D,Male,0.67,3
57,266,1,D,Male,,
58,265,1,D,Male,0.67,2
59,264,1,D,Male,1.00,2
60,263,1,D,Male,1.00,3
61,262,1,D,Female,,3
62,261,1,D,Female,0.67,1
63,260,1,D,Female,,
64,259,1,D,Male,0.67,2
65,258,1,D,Female,0.67,
66,257,1,D,Male,0.67,
67,256,1,D,Male,1.00,1
68,255,1,D,Male,,
69,254,1,D,Male,0.33,3
70,253,1,D,Female,0.67,3
71,252,1,D,Male,1.00,2
72,251,1,D,Male,0,1
73,250,1,D,Female,0.67,2
74,249,1,D,Male,0,
75,248,1,D,Male,0.67,3
76,247,1,D,Female,0.67,2
77,246,1,D,Female,0.67,1
78,290,1,E,Male,1.00,3
79,289,1,E,Female,0.33,1
80,288,1,E,Female,,
