ID,Colegio,Curso,Grupo,Sexo,prosocial,crttotal
4923,4,1,A,Female,0.33,0
4924,4,1,A,Male,0.0,0
4925,4,1,A,Male,0.67,1
4926,4,1,A,Female,0.67,2
4927,4,1,A,Male,1.0,1
4928,4,1,A,Female,0.67,1
4929,4,1,A,Male,1.0,0
4930,4,1,A,Male,0.33,2
4931,4,1,A,Female,0.0,2
4932,4,1,A,Female,0.33,0
4933,4,1,A,Female,0.0,2
4934,4,1,A,Male,0.0,1
4935,4,1,A,Male,1.0,1
4936,4,1,A,Female,0.33,1
4937,4,1,A,Male,0.67,1
4938,4,1,A,Female,0.67,3
4939,4,1,A,Male,1.0,0
4940,4,1,A,Female,0.33,2
4941,4,1,A,Female,1.0,2
4942,4,1,A,Male,0.67,1
4943,4,1,A,Female,0.33,0
4944,4,1,A,Male,0.67,1
4945,4,1,A,Male,0.67,2
4946,4,1,A,Female,0.67,0
4947,4,1,A,Female,0.33,1
4948,4,1,A,Male,1.0,2
4949,4,1,A,Male,0.67,2
4950,4,1,A,Female,0.33,2
4951,4,1,A,Male,1.0,2
4953,4,2,A,Female,1.0,2
4954,4,2,A,Male,1.0,1
4955,4,2,A,Female,0.67,2
4956,4,2,A,Male,0.33,1
4957,4,2,A,Female,0.33,2
4958,4,2,A,Female,0.67,2
4959,4,2,A,Female,0.67,1
4960,4,2,A,Male,0.67,2
4961,4,2,A,Male,1.0,2
4963,4,2,A,Male,1.0,1
4964,4,2,A,Male,0.67,2
4965,4,2,A,Male,0.67,2
4966,4,2,A,Female,0.67,1
4967,4,2,A,Female,0.33,1
4968,4,2,A,Male,1.0,1
4969,4,2,A,Male,0.67,1
4970,4,2,A,Female,1.0,2
4971,4,2,A,Female,0.67,1
4972,4,2,A,Male,0.67,1
4973,4,2,A,Female,0.67,1
4974,4,2,A,Female,1.0,2
4975,4,2,A,Male,1.0,2
4976,4,2,A,Female,0.67,2
4977,4,2,A,Female,0.0,1
4978,4,2,A,Male,1.0,0
4979,4,2,A,Male,1.0,2
4980,4,2,A,Female,0.67,0
4982,4,3,A,Male,1.0,2
4983,4,3,A,Female,1.0,2
4984,4,3,A,Male,0.33,1
4985,4,3,A,Male,0.67,1
4986,4,3,A,Female,0.33,1
4987,4,3,A,Male,1.0,0
4988,4,3,A,Male,0.67,2
4989,4,3,A,Male,0.67,1
4991,4,3,A,Female,1.0,2
4992,4,3,A,Male,0.67,1
4993,4,3,A,Male,0.67,0
4994,4,3,A,Male,1.0,1
4995,4,3,A,Female,0.67,0
4996,4,3,A,Female,0.67,2
4997,4,3,A,Male,0.67,1
4998,4,3,A,Male,1.0,2
4999,4,3,A,Female,1.0,2
5000,4,3,A,Female,0.67,2
5001,4,3,A,Female,1.0,3
5002,4,3,A,Male,0.67,3
5003,4,3,A,Male,0.33,2
5004,4,3,A,Female,0.67,2
5005,4,3,A,Male,0.33,1
5006,4,3,A,Female,0.67,2
5007,4,3,A,Female,0.0,0
5008,4,3,A,Female,0.33,2
5010,4,3,A,Female,1.0,3
5012,4,3,A,Female,1.0,1
5014,4,4,A,Female,0.67,1
5015,4,4,A,Male,0.67,2
5016,4,4,A,Female,1.0,1
5017,4,4,A,Female,0.67,1
5018,4,4,A,Female,0.67,2
5019,4,4,A,Male,0.67,2
5020,4,4,A,Male,0.67,2
5021,4,4,A,Female,0.33,0
5022,4,4,A,Female,0.33,2
5023,4,4,A,Male,1.0,1
5025,4,4,A,Female,0.0,3
5026,4,4,A,Female,0.33,2
5028,4,4,A,Female,0.67,3
5029,4,4,A,Male,0.33,3
5030,4,4,A,Female,0.67,0
5031,4,4,A,Male,0.67,3
5032,4,4,A,Male,0.67,2
5033,4,4,A,Male,0.0,3
5034,4,4,A,Male,0.33,1
5035,4,4,A,Male,1.0,3
5036,4,4,A,Female,0.0,2
5037,4,4,A,Female,0.67,3
5038,4,4,A,Male,1.0,3
5039,4,4,A,Female,0.67,0
5040,4,4,A,Male,1.0,1
5041,4,4,A,Male,0.67,1
