ID,Curso,Grupo,Sexo,prosocial,crttotal
703,1,E,Female,1.0,3.0
692,1,E,Female,1.0,0.999999999
696,1,E,Female,1.0,3.0
698,1,E,Female,0.666666667,3.0
723,1,E,Male,1.0,2.000000001
724,1,E,Male,1.0,3.0
741,1,E,Female,0.666666667,2.000000001
755,1,E,Male,0.666666667,2.000000001
722,1,E,Female,0.333333333,2.000000001
716,1,E,Male,0.666666667,0.0
712,1,E,Male,1.0,2.000000001
749,1,E,Male,1.0,0.999999999
737,1,E,Female,1.0,2.000000001
757,1,E,Male,,
788,1,E,Male,1.0,2.000000001
797,1,E,Female,0.333333333,0.999999999
771,1,E,Male,1.0,0.0
780,1,E,Female,0.666666667,0.999999999
776,1,E,Male,1.0,0.999999999
787,1,E,Male,1.0,2.000000001
765,1,E,Female,0.666666667,0.999999999
801,1,E,Male,0.0,0.999999999
808,1,E,Male,1.0,2.000000001
817,1,E,Female,0.666666667,0.0
805,1,E,Male,0.666666667,0.999999999
819,1,E,Female,0.666666667,2.000000001
825,1,E,Female,0.666666667,3.0
820,1,E,Female,1.0,2.000000001
711,1,E,Female,1.0,
693,1,A,Female,0.666666667,2.000000001
699,1,A,Female,0.666666667,0.999999999
694,1,A,Male,0.0,0.999999999
731,1,A,Male,1.0,0.0
717,1,A,Male,,
729,1,A,Male,,
733,1,A,Female,0.666666667,0.999999999
753,1,A,Female,0.0,2.000000001
730,1,A,Female,0.666666667,2.000000001
750,1,A,Male,0.666666667,2.000000001
756,1,A,Male,1.0,0.999999999
769,1,A,Female,0.666666667,0.999999999
795,1,A,Female,0.333333333,0.999999999
759,1,A,Male,0.333333333,0.999999999
775,1,A,Female,,
782,1,A,Female,1.0,2.000000001
760,1,A,Male,0.666666667,0.0
792,1,A,Male,,
811,1,A,Female,0.666666667,0.999999999
809,1,A,Male,0.666666667,0.0
816,1,A,Male,0.666666667,2.000000001
828,1,A,Male,,
815,1,A,Female,1.0,0.999999999
799,1,A,Male,0.666666667,2.000000001
823,1,A,Female,1.0,2.000000001
804,1,A,Male,1.0,2.000000001
824,1,A,Male,1.0,0.999999999
806,1,A,Female,,
701,1,D,Male,0.666666667,0.999999999
695,1,D,Male,1.0,0.999999999
702,1,D,Male,0.0,2.000000001
697,1,D,Male,0.666666667,2.000000001
710,1,D,Female,0.666666667,0.999999999
706,1,D,Male,1.0,0.999999999
707,1,D,Female,1.0,0.999999999
742,1,D,Female,,
752,1,D,Male,,
744,1,D,Male,0.333333333,2.000000001
738,1,D,Male,1.0,2.000000001
735,1,D,Male,1.0,2.000000001
736,1,D,Female,1.0,0.0
743,1,D,Female,0.666666667,2.000000001
763,1,D,Male,,
793,1,D,Female,,
768,1,D,Female,1.0,2.000000001
762,1,D,Male,1.0,2.000000001
778,1,D,Female,0.666666667,2.000000001
791,1,D,Male,1.0,2.000000001
781,1,D,Male,0.666666667,0.999999999
812,1,D,Female,,
821,1,D,Male,1.0,0.0
822,1,D,Male,0.333333333,0.999999999
800,1,D,Male,0.666666667,0.999999999
700,1,B,Male,1.0,2.000000001
705,1,B,Male,1.0,0.999999999
714,1,B,Male,1.0,0.999999999
720,1,B,Female,0.333333333,2.000000001
732,1,B,Male,1.0,2.000000001
754,1,B,Female,0.666666667,0.0
746,1,B,Male,0.666666667,0.999999999
718,1,B,Male,0.333333333,2.000000001
739,1,B,Male,0.333333333,2.000000001
719,1,B,Female,1.0,0.999999999
779,1,B,Male,1.0,0.0
794,1,B,Male,0.666666667,0.999999999
773,1,B,Female,1.0,2.000000001
789,1,B,Male,1.0,0.999999999
796,1,B,Male,0.333333333,2.000000001
777,1,B,Male,0.666666667,0.999999999
784,1,B,Female,0.666666667,2.000000001
770,1,B,Female,0.666666667,0.999999999
767,1,B,Male,0.666666667,0.999999999
766,1,B,Female,1.0,0.999999999
758,1,B,Female,0.666666667,0.0
783,1,B,Male,0.666666667,0.0
813,1,B,Male,0.666666667,3.0
803,1,B,Female,1.0,0.0
827,1,B,Male,0.0,0.999999999
810,1,B,Female,0.333333333,2.000000001
818,1,B,Female,1.0,0.999999999
826,1,B,Male,1.0,2.000000001
708,1,C,Female,0.666666667,0.0
709,1,C,Female,,
704,1,C,Male,0.666666667,0.0
713,1,C,Male,1.0,0.999999999
747,1,C,Male,0.333333333,2.000000001
726,1,C,Female,1.0,0.0
751,1,C,Female,0.666666667,2.000000001
740,1,C,Female,0.666666667,2.000000001
748,1,C,Male,0.666666667,0.0
734,1,C,Male,0.666666667,2.000000001
721,1,C,Female,1.0,0.999999999
728,1,C,Male,0.666666667,0.999999999
727,1,C,Male,0.666666667,3.0
715,1,C,Female,0.666666667,2.000000001
745,1,C,Male,1.0,2.000000001
725,1,C,Female,1.0,0.999999999
785,1,C,Male,1.0,0.999999999
772,1,C,Female,,
774,1,C,Male,0.666666667,0.999999999
798,1,C,Male,1.0,2.000000001
764,1,C,Female,1.0,2.000000001
761,1,C,Male,1.0,3.0
790,1,C,Male,1.0,0.0
786,1,C,Male,,
807,1,C,Female,,
802,1,C,Female,1.0,3.0
814,1,C,Male,0.333333333,0.999999999
837,2,A,Female,0.666666667,3.0
829,2,A,Male,,
841,2,A,Male,,
833,2,A,Female,,
842,2,A,Female,0.0,0.999999999
830,2,A,Female,0.333333333,3.0
853,2,A,Female,,
850,2,A,Male,0.666666667,0.999999999
873,2,A,Male,,
843,2,A,Female,0.666666667,0.999999999
876,2,A,Female,0.666666667,0.999999999
880,2,A,Male,0.666666667,3.0
881,2,A,Male,1.0,0.999999999
875,2,A,Female,,
883,2,A,Female,0.666666667,2.000000001
868,2,A,Female,0.666666667,2.000000001
890,2,A,Male,,
892,2,A,Female,0.666666667,3.0
919,2,A,Male,0.666666667,0.999999999
907,2,A,Female,0.333333333,3.0
888,2,A,Male,0.666666667,0.999999999
899,2,A,Male,,
921,2,A,Female,,
909,2,A,Male,1.0,3.0
891,2,A,Male,0.666666667,2.000000001
836,2,C,Female,0.666666667,3.0
831,2,C,Male,1.0,2.000000001
840,2,C,Female,1.0,0.999999999
858,2,C,Female,0.666666667,0.999999999
872,2,C,Female,0.666666667,3.0
859,2,C,Male,,
855,2,C,Female,1.0,2.000000001
867,2,C,Male,1.0,3.0
852,2,C,Male,0.666666667,3.0
844,2,C,Male,1.0,0.0
882,2,C,Male,0.666666667,0.999999999
848,2,C,Male,0.666666667,3.0
849,2,C,Female,1.0,3.0
847,2,C,Male,1.0,3.0
856,2,C,Female,1.0,0.999999999
917,2,C,Male,0.666666667,2.000000001
920,2,C,Female,1.0,2.000000001
924,2,C,Female,0.666666667,2.000000001
929,2,C,Female,1.0,0.0
914,2,C,Female,0.666666667,2.000000001
896,2,C,Male,1.0,3.0
897,2,C,Male,0.333333333,0.0
886,2,C,Female,1.0,2.000000001
915,2,C,Female,1.0,0.0
900,2,C,Male,0.666666667,3.0
832,2,B,Female,1.0,2.000000001
870,2,B,Male,1.0,0.999999999
861,2,B,Male,0.666666667,2.000000001
865,2,B,Male,0.666666667,0.0
877,2,B,Male,0.666666667,0.0
846,2,B,Male,1.0,0.999999999
854,2,B,Female,1.0,0.0
857,2,B,Male,1.0,3.0
864,2,B,Female,0.666666667,0.999999999
893,2,B,Female,0.666666667,0.999999999
913,2,B,Female,1.0,2.000000001
906,2,B,Female,1.0,2.000000001
918,2,B,Male,1.0,2.000000001
901,2,B,Male,0.333333333,0.999999999
903,2,B,Male,,
916,2,B,Male,1.0,0.999999999
912,2,B,Female,0.666666667,0.0
905,2,B,Female,0.666666667,0.0
923,2,B,Male,,
889,2,B,Female,0.666666667,2.000000001
898,2,B,Female,1.0,2.000000001
925,2,B,Female,0.666666667,0.999999999
902,2,B,Female,0.666666667,0.999999999
911,2,B,Female,0.666666667,2.000000001
839,2,DPMAR,Male,,
835,2,DPMAR,Female,0.333333333,0.999999999
838,2,DPMAR,Male,,
834,2,DPMAR,Female,,
860,2,DPMAR,Male,1.0,3.0
879,2,DPMAR,Male,,
874,2,DPMAR,Male,1.0,0.999999999
878,2,DPMAR,Female,,
927,2,DPMAR,Male,1.0,2.000000001
894,2,DPMAR,Male,,
922,2,DPMAR,Male,1.0,2.000000001
926,2,DPMAR,Male,0.666666667,0.999999999
